Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Timestamp (s),FR susp (mm),FL susp (mm)
0,c0,ef,44,0,80,c6,43,51.699242,-150.70000000000002,48.522222222222226
0,60,e7,44,0,0,a0,43,51.749248,-145.43571428571428,39.111111111111114
0,a0,d7,44,0,80,9f,43,51.799251,-135.5357142857143,38.98888888888889
0,e0,f4,44,0,0,d6,43,51.849253,-153.92142857142858,52.31111111111111
0,40,e1,44,0,0,b2,43,51.899256,-141.5857142857143,43.51111111111111
0,60,e6,44,0,0,9b,43,51.949261,-144.80714285714288,37.888888888888886
0,80,c1,44,0,0,a9,43,51.999264,-121.62857142857142,41.31111111111111
0,60,c3,44,0,80,e4,43,52.049268,-122.80714285714285,55.855555555555554
0,a0,c5,44,0,c0,1,44,52.099269,-124.22142857142856,63.43333333333333
0,c0,ce,44,0,40,9,44,52.149271,-129.95714285714286,67.1
0,c0,ee,44,0,80,f0,43,52.19928,-150.07142857142858,58.788888888888884
0,e0,e3,44,0,80,e4,43,52.249277,-143.23571428571427,55.855555555555554
0,a0,bc,44,0,80,e8,43,52.299281,-118.56428571428572,56.833333333333336
0,a0,ea,44,0,80,0,44,52.34929,-147.47857142857143,62.82222222222222
0,c0,cd,44,0,0,12,44,52.399292,-129.32857142857142,71.37777777777778
0,80,d3,44,0,80,ff,43,52.449295,-132.94285714285715,62.45555555555556
0,80,a2,44,0,80,27,44,52.499302,-102.14285714285715,81.88888888888889
0,60,bc,44,0,0,fb,43,52.549304,-118.40714285714287,61.35555555555556
0,c0,c2,44,0,80,a1,43,52.599306,-122.41428571428571,39.477777777777774
0,a0,d0,44,0,0,97,43,52.649312,-131.1357142857143,36.91111111111111
0,c0,e6,44,0,80,0,44,52.699309,-145.04285714285714,62.82222222222222
