Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Timestamp (s),steering (°),TI core temp (C)
ed,fa,aa,42,0,f0,1d,46,49.798764,-180.25089270697674,17.6367104
d2,38,d1,42,0,f0,1d,46,49.898769,-179.8312477395349,17.6367104
12,71,d1,42,0,f0,1d,46,49.948775,-179.82883657674418,17.6367104
3c,e7,cf,42,0,f0,1d,46,49.998779,-179.8457184,17.6367104
7c,1f,d0,42,0,f0,1d,46,50.048785,-179.8433072372093,17.6367104
38,ba,cb,42,0,f0,1d,46,50.098785,-179.89154187906976,17.6367104
cb,de,b4,42,0,f0,1d,46,50.148785,-180.14236392558138,17.6367104
9f,e,86,42,0,f0,1d,46,50.198791,-180.65606684651164,17.6367104
90,a9,27,3f,0,f0,1d,46,50.298796,-190.1195296744186,17.6367104
8e,f2,a7,c1,0,f0,1d,46,50.348803,176.48527713488363,17.6367104
97,0,99,c1,0,f0,1d,46,50.398808,176.32127670697662,17.6367104
b6,ef,8a,c1,0,f0,1d,46,50.448812,176.16692461395348,17.6367104
d6,7f,7b,c1,0,f0,1d,46,50.498814,175.99752703255808,17.6367104
d0,83,ba,c0,0,f0,1d,46,50.548816,173.87981782325585,17.6367104
9e,7a,2a,41,0,f0,1d,46,50.598818,-184.4702050604651,17.6367104
7c,3a,d8,41,0,f0,1d,46,50.648826,-182.56357038139538,17.6367104
3c,f0,23,42,0,f0,1d,46,50.698827,-181.7327694139535,17.6367104
4d,fe,64,42,0,f0,1d,46,50.748829,-181.01889092093023,17.6367104
5c,d6,85,42,0,f0,1d,46,50.798833,-180.65847851162792,17.6367104
67,d6,c5,c1,0,f0,1d,46,51.198864,176.81327447441856,17.6367104
18,e5,2f,c1,0,f0,1d,46,51.248869,175.1678837581395,17.6367104
87,59,97,c0,0,f0,1d,46,51.648898,173.49393382325582,17.6367104
d6,5e,68,c0,0,f0,1d,46,51.698898,172.9784082976745,17.6367104
c2,ee,a8,c0,0,f0,1d,46,51.748901,173.68687959069769,17.6367104
2a,8c,c1,c0,0,f0,1d,46,51.798905,173.95699010232556,17.6367104
de,18,cc,c0,0,f0,1d,46,51.848908,174.072756055814,17.6367104
